MIRNA	GENES	REGION	TARGETG_CHR
hsa-miR-19b-3p	ERRFI1	UTR3	chr1
hsa-miR-130a-3p	ERRFI1	UTR3	chr1
hsa-miR-483-3p	ERRFI1	UTR3	chr1
hsa-miR-17-5p	ERRFI1	exonic	chr1
hsa-miR-196a-5p	ERRFI1	exonic	chr1
hsa-miR-301a-3p	RERE	exonic	chr1
hsa-miR-92b-3p	RERE	exonic	chr1
hsa-miR-744-5p	ENO1	UTR3	chr1
hsa-miR-29a-3p	ENO1	exonic,intronic,splicing	chr1
hsa-miR-18a-3p	ENO1	exonic,intronic,splicing	chr1
hsa-miR-484	ENO1	exonic,intronic,splicing	chr1
hsa-miR-484	ENO1	exonic	chr1
hsa-miR-18a-3p	ENO1	exonic	chr1
hsa-miR-3177-3p	ENO1	exonic	chr1
hsa-miR-378a-3p	ENO1	exonic	chr1
hsa-miR-27a-3p	ENO1	exonic,intronic,splicing	chr1
hsa-miR-3177-3p	ENO1	exonic,intronic,splicing	chr1
hsa-miR-378a-3p	ENO1	exonic,intronic,splicing	chr1
hsa-miR-1260b	ENO1	exonic	chr1
hsa-miR-204-5p	ENO1	exonic	chr1
hsa-miR-16-5p	ENO1	exonic	chr1
hsa-miR-125a-5p	ENO1	exonic	chr1
hsa-miR-615-3p	ENO1	exonic	chr1
hsa-miR-615-3p	ENO1	UTR5,exonic	chr1
hsa-miR-222-3p	ENO1	UTR5,exonic	chr1
hsa-miR-130a-3p	ENO1	UTR5,intronic,splicing	chr1
hsa-miR-19a-3p	ENO1	UTR5,intronic,splicing	chr1
hsa-miR-615-3p	ENO1	UTR5,intronic,splicing	chr1
hsa-miR-222-3p	ENO1	UTR5,intronic,splicing	chr1
hsa-miR-30a-5p	GPR157	UTR3	chr1
hsa-miR-17-3p	H6PD	UTR3	chr1
hsa-miR-320a	SLC25A33	exonic	chr1
hsa-miR-34a-5p	SLC25A33	exonic	chr1
hsa-miR-30a-3p	CLSTN1	exonic	chr1
hsa-miR-30e-3p	CLSTN1	exonic	chr1
hsa-miR-27a-3p	KIF1B	exonic	chr1
hsa-miR-27b-3p	KIF1B	exonic	chr1
hsa-miR-339-5p	PGD	exonic	chr1
hsa-miR-320a	PGD	exonic	chr1
hsa-let-7e-5p	PGD	exonic	chr1
hsa-miR-15b-5p	PGD	UTR3,exonic	chr1
hsa-miR-122-5p	APITD1	UTR3	chr1
hsa-miR-574-3p	APITD1	UTR3	chr1
hsa-miR-23a-3p	TARDBP	UTR3	chr1
hsa-miR-181a-5p	TARDBP	UTR3	chr1
hsa-miR-320a	SRM	UTR3	chr1
hsa-miR-423-5p	SRM	UTR3	chr1
hsa-miR-103a-3p	SRM	UTR3	chr1
hsa-miR-17-5p	EXOSC10	exonic,intronic,splicing	chr1
hsa-miR-26a-5p	MTOR	exonic,intronic,splicing	chr1
hsa-miR-744-5p	MTOR	exonic,intronic,splicing	chr1
hsa-miR-16-5p	KIAA2013	exonic	chr1
hsa-miR-484	PLOD1	UTR3	chr1
hsa-miR-149-5p	PLOD1	UTR3	chr1
hsa-miR-34a-5p	MFN2	exonic	chr1
hsa-miR-27a-3p	MFN2	exonic	chr1
hsa-miR-342-5p	VPS13D	exonic	chr1
hsa-miR-10a-3p	VPS13D	exonic	chr1
hsa-let-7e-5p	VPS13D	exonic	chr1
hsa-miR-93-5p	DHRS3	UTR3,exonic	chr1
hsa-miR-484	HNRNPCL1	exonic	chr1
hsa-miR-4279	HNRNPCL1	exonic	chr1
hsa-miR-196a-5p	PDPN,RP4-597A16.2	intergenic	chr1
hsa-miR-182-5p	PDPN,RP4-597A16.2	intergenic	chr1
hsa-let-7c-5p	DNAJC16	exonic	chr1
hsa-miR-484	RSC1A1	exonic	chr1
hsa-miR-29b-3p	DDI2	UTR3	chr1
hsa-miR-182-5p	DDI2	UTR3	chr1
hsa-miR-30c-5p	DDI2	UTR3	chr1
hsa-miR-92a-3p	DDI2	UTR3	chr1
hsa-miR-455-3p	PLEKHM2	exonic,intronic,splicing	chr1
hsa-miR-744-5p	PLEKHM2	exonic,intronic,splicing	chr1
hsa-miR-16-5p	SPEN	exonic,splicing	chr1
hsa-miR-30c-5p	SPEN	UTR3	chr1
hsa-miR-186-5p	SPEN	UTR3	chr1
hsa-miR-940	EPHA2	UTR3	chr1
hsa-miR-130a-3p	SZRD1	exonic	chr1
hsa-miR-181a-5p	SZRD1	UTR3,exonic	chr1
hsa-let-7b-5p	SZRD1	UTR3	chr1
hsa-miR-328-3p	SZRD1	UTR3	chr1
hsa-miR-196a-5p	AL021920.1,AL137798.1	intergenic	chr1
hsa-miR-122-5p	SDHB	exonic,intronic,splicing	chr1
hsa-miR-125b-5p	SDHB	exonic,intronic,splicing	chr1
hsa-miR-182-5p	RCC2	UTR3	chr1
hsa-miR-16-5p	RCC2	UTR3	chr1
hsa-miR-192-5p	RCC2	UTR3	chr1
hsa-miR-23a-3p	RCC2	UTR3	chr1
hsa-miR-324-5p	ARHGEF10L	UTR3	chr1
hsa-miR-186-5p	ACTL8	UTR3	chr1
hsa-miR-26a-5p	ACTL8	UTR3	chr1
hsa-miR-148b-5p	ACTL8	UTR3	chr1
hsa-miR-191-5p	IFFO2	UTR3	chr1
hsa-miR-877-5p	RP5-1126H10.2	ncRNA_exonic	chr1
hsa-miR-296-3p	RP5-1126H10.2	ncRNA_exonic	chr1
hsa-miR-423-5p	RP5-1126H10.2	ncRNA_exonic	chr1
hsa-miR-320a	UBR4	exonic,intronic,splicing	chr1
hsa-miR-25-3p	UBR4	exonic,intronic,splicing	chr1
hsa-miR-17-5p	UBR4	exonic,intronic,splicing	chr1
hsa-miR-3934-5p	CAPZB	UTR3	chr1
hsa-miR-324-3p	CAPZB	exonic	chr1
hsa-miR-23a-3p	OTUD3	UTR3	chr1
hsa-miR-30a-5p	OTUD3	UTR3	chr1
hsa-miR-125a-5p	OTUD3	UTR3	chr1
hsa-miR-18a-5p	CAMK2N1	UTR3	chr1
hsa-let-7i-5p	DDOST	UTR3	chr1
hsa-miR-29b-3p	HP1BP3	exonic	chr1
hsa-miR-21-5p	EIF4G3	UTR3	chr1
hsa-miR-20a-5p	EIF4G3	exonic,intronic,splicing	chr1
hsa-miR-320a	EIF4G3	intronic	chr1
hsa-miR-320d	EIF4G3	intronic	chr1
hsa-miR-221-3p	EIF4G3	UTR5,exonic	chr1
hsa-miR-99b-5p	EIF4G3	UTR5,exonic	chr1
hsa-miR-484	ECE1	exonic	chr1
hsa-miR-454-3p	USP48	UTR3	chr1
hsa-miR-17-3p	CDC42	UTR3,exonic	chr1
hsa-miR-106b-5p	CDC42	UTR3,exonic	chr1
hsa-miR-106b-5p	ZBTB40	UTR5	chr1
hsa-miR-17-5p	ZBTB40	UTR5	chr1
hsa-miR-500a-5p	KDM1A	exonic	chr1
hsa-miR-23b-3p	KDM1A	exonic	chr1
hsa-miR-17-5p	HNRNPR	UTR3	chr1
hsa-miR-92a-3p	HNRNPR	exonic	chr1
hsa-miR-320a	ZNF436	UTR3	chr1
hsa-miR-92a-3p	RPL11	exonic	chr1
hsa-miR-505-5p	RPL11	UTR3,exonic	chr1
hsa-let-7f-5p	TCEB3	exonic	chr1
hsa-miR-484	PITHD1	exonic	chr1
hsa-miR-339-3p	LYPLA2	exonic	chr1
hsa-miR-296-3p	LYPLA2	exonic	chr1
hsa-miR-423-3p	LYPLA2	UTR3	chr1
hsa-miR-320b	HMGCL	exonic,intronic,splicing	chr1
hsa-miR-320d	HMGCL	exonic,intronic,splicing	chr1
hsa-miR-106b-5p	HMGCL	exonic	chr1
hsa-miR-16-5p	IFNLR1	UTR3	chr1
hsa-miR-10a-3p	CLIC4	UTR3	chr1
hsa-miR-19a-3p	CLIC4	UTR3	chr1
hsa-miR-122-5p	CLIC4	UTR3	chr1
hsa-miR-374a-5p	CLIC4	UTR3	chr1
hsa-miR-26a-5p	CLIC4	UTR3	chr1
hsa-miR-130b-3p	CLIC4	UTR3	chr1
hsa-miR-301a-3p	CLIC4	UTR3	chr1
hsa-miR-320a	SYF2	UTR3	chr1
hsa-miR-27a-3p	C1orf63	UTR3	chr1
hsa-miR-30c-5p	TMEM50A	UTR3	chr1
hsa-miR-149-5p	SEPN1	UTR3	chr1
hsa-miR-423-5p	SEPN1	UTR3	chr1
hsa-miR-744-5p	STMN1	UTR3	chr1
hsa-miR-26a-5p	STMN1	UTR3	chr1
hsa-miR-455-3p	STMN1	UTR3	chr1
hsa-miR-484	MIR3917,STMN1	UTR5,ncRNA_exonic	chr1
hsa-miR-92a-3p	PDIK1L	UTR3,exonic	chr1
hsa-miR-92b-3p	PDIK1L	UTR3,exonic	chr1
hsa-miR-17-5p	PDIK1L	UTR3	chr1
hsa-miR-18a-5p	PDIK1L	UTR3	chr1
hsa-miR-671-5p	CEP85	UTR3	chr1
hsa-miR-30b-5p	HMGN2	UTR3,exonic	chr1
hsa-miR-30c-5p	HMGN2	UTR3,exonic	chr1
hsa-miR-193b-3p	ARID1A	exonic	chr1
hsa-miR-320a	ARID1A	exonic	chr1
hsa-miR-296-3p	ARID1A	exonic	chr1
hsa-miR-16-5p	ARID1A	exonic	chr1
hsa-miR-885-5p	ARID1A	exonic	chr1
hsa-miR-18a-3p	ARID1A	exonic	chr1
hsa-miR-455-3p	ARID1A	exonic	chr1
hsa-miR-320a	ARID1A	UTR3	chr1
hsa-miR-7-5p	WASF2	UTR3	chr1
hsa-miR-877-3p	WASF2	UTR3	chr1
hsa-miR-940	WASF2	UTR3	chr1
hsa-miR-579	AHDC1	UTR3	chr1
hsa-miR-18a-5p	STX12	UTR3	chr1
hsa-miR-106b-5p	STX12	UTR3	chr1
hsa-miR-17-5p	STX12	UTR3	chr1
hsa-miR-20a-5p	PPP1R8	exonic,intronic,splicing	chr1
hsa-miR-874-3p	PPP1R8	exonic,intronic,splicing	chr1
hsa-miR-20a-5p	RPA2	UTR3,exonic,splicing	chr1
hsa-miR-92a-3p	RPA2	UTR3,exonic,splicing	chr1
hsa-let-7c-5p	EYA3	exonic	chr1
hsa-miR-324-3p	ATPIF1	UTR5,exonic	chr1
hsa-miR-615-3p	ATPIF1	UTR5,exonic	chr1
hsa-miR-27a-3p	ATPIF1	exonic	chr1
hsa-miR-22-3p	ATPIF1	exonic	chr1
hsa-let-7a-5p	SESN2	UTR3	chr1
hsa-miR-27a-3p	SESN2	UTR3	chr1
hsa-miR-26b-5p	MED18	UTR3	chr1
hsa-miR-26a-5p	MED18	UTR3	chr1
hsa-miR-484	PHACTR4	exonic	chr1
hsa-miR-296-5p	RCC1,SNHG3	ncRNA_exonic,splicing	chr1
hsa-miR-92a-3p	RCC1	UTR3	chr1
hsa-miR-126-5p	SNHG12	ncRNA_exonic	chr1
hsa-miR-103a-3p	SNHG12	ncRNA_exonic	chr1
hsa-miR-106b-5p	YTHDF2	exonic	chr1
hsa-miR-151a-3p	YTHDF2	exonic	chr1
hsa-miR-615-3p	YTHDF2	exonic	chr1
hsa-miR-30c-5p	YTHDF2	UTR3	chr1
hsa-miR-320b	EPB41	UTR5	chr1
hsa-miR-320a	EPB41	UTR5	chr1
hsa-miR-423-5p	EPB41	UTR5	chr1
hsa-miR-320a	EPB41	exonic	chr1
hsa-miR-342-3p	EPB41	UTR3	chr1
hsa-miR-320a	SRSF4	exonic	chr1
hsa-miR-296-3p	PUM1	UTR3	chr1
hsa-miR-99a-5p	PUM1	UTR3	chr1
hsa-miR-186-5p	PUM1	UTR3	chr1
hsa-miR-324-5p	PUM1	exonic,splicing	chr1
hsa-miR-324-3p	PUM1	exonic,splicing	chr1
hsa-miR-92a-3p	PEF1	exonic,splicing	chr1
hsa-miR-320a	RP11-84A19.4	ncRNA_intronic	chr1
hsa-miR-92a-3p	RP11-84A19.4	ncRNA_intronic	chr1
hsa-miR-331-3p	RP11-84A19.4	ncRNA_intronic	chr1
hsa-miR-26a-5p	RP11-84A19.4	ncRNA_intronic	chr1
hsa-let-7b-5p	PTP4A2	exonic	chr1
hsa-miR-877-5p	PTP4A2	exonic	chr1
hsa-let-7c-5p	PTP4A2	exonic	chr1
hsa-miR-296-3p	PTP4A2,RP11-84A19.4	exonic,ncRNA_intronic	chr1
hsa-miR-320b	RP11-84A19.4	ncRNA_intronic	chr1
hsa-miR-320b	PTP4A2	UTR5	chr1
hsa-miR-320a	PTP4A2	UTR5	chr1
hsa-miR-28-3p	KHDRBS1	exonic,intronic,splicing	chr1
hsa-miR-18a-3p	KHDRBS1	UTR3,exonic	chr1
hsa-miR-877-3p	KHDRBS1	UTR3	chr1
hsa-miR-17-5p	KHDRBS1	UTR3	chr1
hsa-miR-26a-5p	KPNA6	intronic	chr1
hsa-miR-221-3p	KPNA6	exonic	chr1
hsa-miR-877-3p	RP4-622L5.2	ncRNA_intronic	chr1
hsa-let-7b-5p	RP4-622L5.2	ncRNA_intronic	chr1
hsa-let-7a-5p	RP4-622L5.2	ncRNA_intronic	chr1
hsa-miR-16-5p	RP4-622L5.2	ncRNA_intronic	chr1
hsa-miR-92a-3p	TXLNA	exonic	chr1
hsa-miR-193b-3p	TXLNA	exonic	chr1
hsa-miR-423-3p	TXLNA	exonic	chr1
hsa-miR-15b-5p	TXLNA	UTR3	chr1
hsa-miR-320b	TXLNA	UTR3	chr1
hsa-let-7b-5p	TXLNA	UTR3	chr1
hsa-miR-26a-5p	TXLNA	UTR3	chr1
hsa-miR-92a-3p	TXLNA	UTR3	chr1
hsa-miR-193b-3p	EIF3I	exonic	chr1
hsa-miR-191-5p	EIF3I	exonic	chr1
hsa-miR-222-3p	EIF3I	exonic	chr1
hsa-miR-18a-3p	EIF3I	exonic	chr1
hsa-let-7a-5p	BSDC1	UTR3	chr1
hsa-let-7c-5p	BSDC1	UTR3	chr1
hsa-miR-15a-5p	RBBP4	exonic	chr1
hsa-miR-92a-3p	YARS	exonic	chr1
hsa-miR-421	YARS	exonic,intronic,splicing	chr1
hsa-miR-877-3p	YARS	exonic	chr1
hsa-let-7a-5p	S100PBP	exonic	chr1
hsa-miR-21-5p	RP1-117O3.2	ncRNA_intronic	chr1
hsa-miR-193a-3p	RP1-117O3.2	ncRNA_intronic	chr1
hsa-miR-320a	RP1-117O3.2	ncRNA_intronic	chr1
hsa-miR-30d-5p	ADC	UTR3	chr1
hsa-miR-151a-3p	ADC	UTR3	chr1
hsa-miR-1269a	RP11-415J8.3	ncRNA_intronic	chr1
hsa-miR-744-5p	PHC2,RP11-415J8.3	exonic,ncRNA_intronic	chr1
hsa-miR-222-3p	CSMD2	intronic	chr1
hsa-miR-19a-3p	CSMD2	intronic	chr1
hsa-miR-484	RP5-997D16.2	ncRNA_exonic	chr1
hsa-miR-374a-5p	ZMYM6	exonic	chr1
hsa-miR-16-5p	SFPQ	intronic	chr1
hsa-miR-26b-5p	SFPQ	UTR3	chr1
hsa-miR-10a-5p	SFPQ	exonic	chr1
hsa-miR-331-3p	SFPQ	exonic	chr1
hsa-miR-122-5p	ZMYM4	exonic,intronic,splicing	chr1
hsa-miR-186-5p	KIAA0319L,RNY5P1	intergenic	chr1
hsa-miR-1226-3p	PSMB2	UTR3	chr1
hsa-miR-17-5p	PSMB2	UTR3	chr1
hsa-let-7c-5p	PSMB2	exonic	chr1
hsa-miR-25-3p	PSMB2	exonic,intronic,splicing	chr1
hsa-miR-744-5p	PSMB2	exonic,intronic,splicing	chr1
hsa-miR-320a	AGO4	UTR3	chr1
hsa-miR-484	AGO4	UTR3	chr1
hsa-miR-193b-3p	AGO1	exonic	chr1
hsa-miR-20a-5p	AGO1	exonic	chr1
hsa-miR-186-5p	AGO1	exonic	chr1
hsa-miR-106b-5p	AGO1	exonic	chr1
hsa-miR-17-5p	AGO1	exonic	chr1
hsa-miR-29a-3p	AGO1	exonic	chr1
hsa-miR-877-3p	AGO1	exonic	chr1
hsa-miR-99a-5p	AGO1	exonic	chr1
hsa-miR-324-5p	AGO1	exonic	chr1
hsa-miR-34a-5p	AGO1	exonic	chr1
hsa-miR-877-5p	AGO1	exonic	chr1
hsa-miR-744-5p	AGO1	exonic	chr1
hsa-miR-30c-5p	AGO1	exonic	chr1
hsa-miR-378a-3p	AGO1	exonic	chr1
hsa-let-7e-5p	AGO1	exonic	chr1
hsa-miR-92a-3p	AGO1	exonic	chr1
hsa-miR-212-3p	AGO1	exonic	chr1
hsa-let-7b-5p	AGO1	exonic	chr1
hsa-let-7c-5p	AGO1	exonic	chr1
hsa-miR-138-5p	AGO1	exonic	chr1
hsa-miR-421	AGO1	exonic	chr1
hsa-miR-31-5p	AGO1	exonic	chr1
hsa-miR-328-3p	AGO1	exonic	chr1
hsa-miR-146b-5p	AGO1	exonic	chr1
hsa-miR-93-3p	AGO1	exonic	chr1
hsa-miR-30d-5p	AGO1	exonic	chr1
hsa-miR-93-5p	AGO1	exonic	chr1
hsa-let-7a-5p	AGO1	exonic	chr1
hsa-miR-652-3p	AGO1	exonic	chr1
hsa-miR-194-5p	AGO1	exonic	chr1
hsa-miR-151a-5p	AGO1	exonic	chr1
hsa-miR-26a-5p	AGO1	exonic	chr1
hsa-miR-423-3p	AGO1	exonic	chr1
hsa-let-7g-5p	AGO1	exonic	chr1
hsa-miR-192-5p	AGO1	exonic	chr1
hsa-miR-106a-5p	AGO1	exonic	chr1
hsa-miR-195-5p	AGO1	exonic	chr1
hsa-miR-197-3p	AGO1	exonic	chr1
hsa-miR-320a	AGO1	exonic	chr1
hsa-miR-628-3p	AGO1	exonic	chr1
hsa-miR-320c	AGO1	exonic	chr1
hsa-miR-149-5p	AGO1	exonic	chr1
hsa-miR-18a-3p	AGO1	exonic	chr1
hsa-miR-326	AGO1	exonic	chr1
hsa-miR-615-3p	AGO1	exonic	chr1
hsa-miR-103a-3p	AGO1	UTR3	chr1
hsa-miR-93-5p	AGO1	UTR3	chr1
hsa-miR-17-5p	AGO1	UTR3	chr1
hsa-miR-16-5p	AGO3	UTR3	chr1
hsa-miR-1229-3p	ADPRHL2	UTR3	chr1
hsa-miR-484	MAP7D1	exonic	chr1
hsa-miR-100-5p	MAP7D1	UTR3	chr1
hsa-miR-320b	MAP7D1	UTR3	chr1
hsa-miR-125b-5p	THRAP3	exonic	chr1
hsa-miR-125a-5p	THRAP3	exonic	chr1
hsa-miR-326	THRAP3	exonic	chr1
hsa-miR-615-3p	THRAP3	exonic,intronic,splicing	chr1
hsa-miR-92a-3p	THRAP3	exonic,intronic,splicing	chr1
hsa-miR-30b-5p	THRAP3	UTR3	chr1
hsa-miR-106b-5p	STK40	UTR3	chr1
hsa-miR-940	STK40	UTR3	chr1
hsa-miR-31-5p	STK40	UTR3	chr1
hsa-miR-1269a	YRDC	UTR3	chr1
hsa-miR-455-3p	YRDC	UTR3	chr1
hsa-miR-17-5p	MTF1	UTR3	chr1
hsa-miR-27a-3p	MTF1	UTR3	chr1
hsa-miR-106a-5p	MTF1	UTR3	chr1
hsa-miR-615-3p	SF3A3	UTR3,exonic	chr1
hsa-let-7e-5p	RRAGC	exonic	chr1
hsa-miR-29a-3p	RRAGC	exonic	chr1
hsa-miR-424-5p	AKIRIN1	UTR3	chr1
hsa-let-7e-5p	NDUFS5	UTR3,exonic	chr1
hsa-miR-1296-5p	NDUFS5	UTR3,exonic	chr1
hsa-miR-26a-5p	MACF1	exonic	chr1
hsa-miR-27a-3p	MACF1	exonic	chr1
hsa-miR-92a-3p	MACF1	exonic	chr1
hsa-let-7e-5p	MACF1	exonic	chr1
hsa-miR-296-3p	MACF1	exonic	chr1
hsa-miR-146a-5p	PABPC4	UTR3,exonic	chr1
hsa-miR-20a-5p	PABPC4	UTR3,exonic	chr1
hsa-miR-186-5p	PABPC4	UTR3,exonic	chr1
hsa-miR-16-5p	PABPC4	UTR3,exonic,splicing	chr1
hsa-miR-186-5p	PABPC4	UTR3,exonic,splicing	chr1
hsa-miR-3615	TRIT1	UTR3	chr1
hsa-miR-23a-3p	CAP1	exonic	chr1
hsa-miR-17-5p	CAP1	UTR3	chr1
hsa-miR-93-5p	CAP1	UTR3	chr1
hsa-miR-421	CAP1	UTR3	chr1
hsa-miR-29a-3p	PPT1	UTR3	chr1
hsa-miR-15b-5p	PPT1	UTR3	chr1
hsa-miR-29c-3p	PPT1	UTR3	chr1
hsa-miR-320a	PPT1	UTR3	chr1
hsa-miR-652-3p	SMAP2	UTR3,exonic	chr1
hsa-let-7e-5p	SMAP2	UTR3,exonic	chr1
hsa-miR-26a-5p	MIR30E	ncRNA_exonic	chr1
hsa-miR-221-3p	NFYC	UTR3	chr1
hsa-miR-92a-3p	CTPS1	UTR3	chr1
hsa-miR-320a	CTPS1	UTR3	chr1
hsa-let-7e-5p	SCMH1	UTR3	chr1
hsa-miR-19b-3p	FOXJ3	UTR3	chr1
hsa-miR-93-5p	FOXJ3	UTR3	chr1
hsa-miR-197-3p	FOXJ3	UTR3	chr1
hsa-miR-27a-3p	FOXJ3	UTR3	chr1
hsa-let-7a-5p	FOXJ3	UTR3	chr1
hsa-miR-20a-5p	FOXJ3	UTR3	chr1
hsa-miR-574-5p	FOXJ3	exonic,intronic,splicing	chr1
hsa-miR-106b-5p	FOXJ3	exonic	chr1
hsa-miR-193b-3p	FOXJ3	exonic	chr1
hsa-miR-484	YBX1	UTR5,exonic	chr1
hsa-miR-1292-5p	YBX1	UTR5,exonic	chr1
hsa-miR-25-3p	YBX1	UTR5,exonic	chr1
hsa-miR-744-5p	YBX1	UTR5,exonic	chr1
hsa-miR-34a-5p	YBX1	UTR3	chr1
hsa-miR-1296-5p	YBX1	UTR3	chr1
hsa-miR-20a-5p	YBX1	UTR3	chr1
hsa-miR-605-5p	YBX1	UTR3	chr1
hsa-miR-320a	SLC2A1	UTR3	chr1
hsa-miR-1262	SLC2A1	UTR3	chr1
hsa-miR-21-5p	RNU6-870P,RNU6-880P	intergenic	chr1
hsa-miR-194-5p	RNU6-870P,RNU6-880P	intergenic	chr1
hsa-miR-505-3p	EBNA1BP2	exonic	chr1
hsa-miR-615-3p	EBNA1BP2	exonic	chr1
hsa-miR-193b-3p	EBNA1BP2	exonic	chr1
hsa-miR-34a-5p	CDC20	exonic,intronic,splicing	chr1
hsa-miR-26a-5p	CDC20	exonic,intronic,splicing	chr1
hsa-miR-18a-5p	CDC20	exonic,intronic,splicing	chr1
hsa-miR-23b-3p	CDC20	exonic	chr1
hsa-miR-92a-3p	CDC20	exonic	chr1
hsa-miR-941	CDC20	exonic	chr1
hsa-miR-484	ELOVL1	UTR3	chr1
hsa-miR-18a-5p	ELOVL1	UTR3	chr1
hsa-miR-455-3p	ELOVL1	UTR3	chr1
hsa-miR-652-3p	ELOVL1	exonic	chr1
hsa-miR-1229-3p	PTPRF	exonic	chr1
hsa-miR-1914-5p	PTPRF	exonic	chr1
hsa-miR-193a-3p	PTPRF	exonic	chr1
hsa-miR-130a-3p	PTPRF	UTR3	chr1
hsa-miR-23a-3p	KDM4A	exonic	chr1
hsa-miR-17-5p	KDM4A	exonic	chr1
hsa-miR-17-5p	B4GALT2	exonic	chr1
hsa-miR-20a-5p	B4GALT2	exonic	chr1
hsa-miR-17-5p	RP11-269F19.2	ncRNA_intronic	chr1
hsa-miR-186-5p	RPS8,SNORD55	intronic,ncRNA_exonic	chr1
hsa-miR-103a-3p	RPS8,SNORD55	intronic,ncRNA_exonic	chr1
hsa-miR-32-5p	RPS8,SNORD55	intronic,ncRNA_exonic	chr1
hsa-miR-10b-5p	RPS8	exonic,splicing	chr1
hsa-miR-3615	RPS8	exonic,splicing	chr1
hsa-miR-26a-5p	RPS8	exonic	chr1
hsa-miR-1303	RPS8	exonic	chr1
hsa-miR-181b-5p	RPS8	exonic	chr1
hsa-miR-1250-5p	RPS8	exonic	chr1
hsa-miR-324-3p	RPS8	exonic,intronic,splicing	chr1
