"ensembl_gene_id"	"name_1006"
"52"	"ENSG00000198987"	"negative regulation of cell chemotaxis to fibroblast growth factor"
"53"	"ENSG00000198987"	"positive regulation of intrinsic apoptotic signaling pathway"
"54"	"ENSG00000198987"	"branching involved in blood vessel morphogenesis"
"55"	"ENSG00000198987"	"positive regulation of translation"
"56"	"ENSG00000198987"	"negative regulation of trophoblast cell migration"
"57"	"ENSG00000198987"	"negative regulation of placenta blood vessel development"
"58"	"ENSG00000198997"	"extracellular space"
"59"	"ENSG00000198997"	"mRNA binding involved in posttranscriptional gene silencing"
"60"	"ENSG00000198997"	"gene silencing by miRNA"
"61"	"ENSG00000198997"	"miRNA mediated inhibition of translation"
"62"	"ENSG00000198997"	"negative regulation of vascular endothelial growth factor production"
"63"	"ENSG00000198997"	"extracellular vesicle"
"64"	"ENSG00000198997"	"negative regulation of fat cell differentiation"
"65"	"ENSG00000198997"	"negative regulation of amyloid precursor protein catabolic process"
"66"	"ENSG00000198997"	"positive regulation of necroptotic process"
"67"	"ENSG00000198997"	"cellular response to insulin stimulus"
"68"	"ENSG00000198997"	"positive regulation of gluconeogenesis"
"69"	"ENSG00000198997"	"negative regulation of glucose import"
"70"	"ENSG00000198997"	"negative regulation of insulin receptor signaling pathway"
"71"	"ENSG00000198997"	"cellular response to hydrogen peroxide"
"72"	"ENSG00000198997"	"neuronal cell body"
"73"	"ENSG00000199023"	"extracellular space"
"74"	"ENSG00000199023"	"mRNA binding involved in posttranscriptional gene silencing"
"75"	"ENSG00000199023"	"gene silencing by miRNA"
"76"	"ENSG00000199023"	"mRNA 3'-UTR binding"
"77"	"ENSG00000199023"	"negative regulation of amyloid-beta formation"
"78"	"ENSG00000199023"	"negative regulation of endopeptidase activity"
"79"	"ENSG00000199023"	"cellular response to fibroblast growth factor stimulus"
"80"	"ENSG00000199023"	"negative regulation of vascular associated smooth muscle cell proliferation"
"81"	"ENSG00000199030"	"extracellular space"
"82"	"ENSG00000199030"	"negative regulation of receptor signaling pathway via STAT"
"83"	"ENSG00000199030"	"negative regulation of interleukin-6-mediated signaling pathway"
"84"	"ENSG00000199030"	"mRNA binding involved in posttranscriptional gene silencing"
"85"	"ENSG00000199030"	"gene silencing by miRNA"
"86"	"ENSG00000199030"	"extracellular vesicle"
"87"	"ENSG00000199030"	"extracellular exosome"
"88"	"ENSG00000199030"	"positive regulation of transcription by RNA polymerase II"
"89"	"ENSG00000199030"	"cytoplasm"
"90"	"ENSG00000199030"	"nucleus"
"91"	"ENSG00000199030"	"negative regulation of interleukin-10 production"
"92"	"ENSG00000199030"	"negative regulation of interleukin-8 production"
"93"	"ENSG00000199032"	"extracellular space"
"94"	"ENSG00000199032"	"mRNA binding involved in posttranscriptional gene silencing"
"95"	"ENSG00000199032"	"gene silencing by miRNA"
"96"	"ENSG00000199038"	"extracellular space"
"97"	"ENSG00000199038"	"mRNA binding involved in posttranscriptional gene silencing"
"98"	"ENSG00000199038"	"gene silencing by miRNA"
"99"	"ENSG00000199038"	"miRNA mediated inhibition of translation"
"100"	"ENSG00000199038"	"positive regulation of blood vessel endothelial cell migration"
"101"	"ENSG00000199038"	"positive regulation of angiogenesis"
"102"	"ENSG00000199038"	"positive regulation of osteoblast differentiation"
"103"	"ENSG00000199038"	"positive regulation of apoptotic signaling pathway"
"104"	"ENSG00000199038"	"negative regulation of vascular associated smooth muscle cell apoptotic process"
"105"	"ENSG00000199038"	"negative regulation of neuron projection development"
"106"	"ENSG00000199038"	"positive regulation of cell migration"
"107"	"ENSG00000199038"	"tube formation"
"108"	"ENSG00000199038"	"hypoxia-inducible factor-1alpha signaling pathway"
"109"	"ENSG00000199038"	"regulation of cellular response to hypoxia"
"110"	"ENSG00000199038"	"negative regulation of mitochondrial electron transport, NADH to ubiquinone"
"111"	"ENSG00000199038"	"positive regulation of glucose catabolic process to lactate via pyruvate"
"112"	"ENSG00000199038"	"negative regulation of aconitate hydratase activity"
"113"	"ENSG00000199038"	"positive regulation of iron ion import across plasma membrane"
"114"	"ENSG00000199038"	"negative regulation of apoptotic signaling pathway"
"115"	"ENSG00000199047"	"extracellular space"
"116"	"ENSG00000199047"	"mRNA binding involved in posttranscriptional gene silencing"
"117"	"ENSG00000199047"	"gene silencing by miRNA"
"118"	"ENSG00000199047"	"miRNA mediated inhibition of translation"
"119"	"ENSG00000199047"	"negative regulation of vascular endothelial growth factor production"
"120"	"ENSG00000199047"	"positive regulation of angiogenesis"
"121"	"ENSG00000199047"	"negative regulation of cell population proliferation"
"122"	"ENSG00000199047"	"negative regulation of interleukin-33 production"
"123"	"ENSG00000199047"	"negative regulation of cytokine production involved in inflammatory response"
"124"	"ENSG00000199047"	"RNA polymerase II complex binding"
"125"	"ENSG00000199047"	"negative regulation of monooxygenase activity"
"126"	"ENSG00000199053"	""
"127"	"ENSG00000199082"	"extracellular space"
"128"	"ENSG00000199082"	"mRNA binding involved in posttranscriptional gene silencing"
"129"	"ENSG00000199082"	"gene silencing by miRNA"
"130"	"ENSG00000199082"	"positive regulation of blood vessel endothelial cell migration"
"131"	"ENSG00000199082"	"negative regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis"
"132"	"ENSG00000199082"	"extracellular exosome"
"133"	"ENSG00000199082"	"negative regulation of protein kinase B signaling"
"134"	"ENSG00000199082"	"negative regulation of vascular endothelial growth factor signaling pathway"
"135"	"ENSG00000199082"	"negative regulation of transforming growth factor beta receptor signaling pathway"
"136"	"ENSG00000199082"	"positive regulation of cardiac endothelial to mesenchymal transition"
"137"	"ENSG00000199090"	""
"138"	"ENSG00000199121"	"extracellular space"
"139"	"ENSG00000199121"	"mRNA binding involved in posttranscriptional gene silencing"
"140"	"ENSG00000199121"	"gene silencing by miRNA"
"141"	"ENSG00000199121"	"extracellular vesicle"
"142"	"ENSG00000199121"	"positive regulation of apoptotic signaling pathway"
"143"	"ENSG00000199121"	"positive regulation of tau-protein kinase activity"
"144"	"ENSG00000199121"	"negative regulation of chemokine production"
"145"	"ENSG00000199121"	"negative regulation of interferon-beta production"
"146"	"ENSG00000199121"	"defense response to virus"
"147"	"ENSG00000199121"	"positive regulation of cell cycle"
"148"	"ENSG00000199121"	"negative regulation of defense response to virus"
"149"	"ENSG00000199121"	"positive regulation of protein serine/threonine kinase activity"
"150"	"ENSG00000199122"	"extracellular space"
"151"	"ENSG00000199122"	"mRNA binding involved in posttranscriptional gene silencing"
"152"	"ENSG00000199122"	"gene silencing by miRNA"
"153"	"ENSG00000199130"	"mRNA binding involved in posttranscriptional gene silencing"
"154"	"ENSG00000199130"	"negative regulation of interleukin-6 production"
"155"	"ENSG00000199130"	"gene silencing by miRNA"
"156"	"ENSG00000199130"	"miRNA mediated inhibition of translation"
"157"	"ENSG00000199130"	"extracellular vesicle"
"158"	"ENSG00000199133"	"extracellular space"
"159"	"ENSG00000199133"	"extracellular vesicle"
"160"	"ENSG00000199150"	"extracellular space"
"161"	"ENSG00000199150"	"mRNA binding involved in posttranscriptional gene silencing"
"162"	"ENSG00000199150"	"gene silencing by miRNA"
"163"	"ENSG00000199150"	"positive regulation of angiogenesis"
"164"	"ENSG00000199150"	"negative regulation of inflammatory response"
"165"	"ENSG00000199150"	"negative regulation of leukocyte adhesion to vascular endothelial cell"
"166"	"ENSG00000199150"	"negative regulation of cell migration"
"167"	"ENSG00000199150"	"negative regulation of transforming growth factor beta receptor signaling pathway"
"168"	"ENSG00000199150"	"negative regulation of pathway-restricted SMAD protein phosphorylation"
"169"	"ENSG00000199150"	"cellular response to glucose stimulus"
"170"	"ENSG00000199153"	"extracellular space"
"171"	"ENSG00000199153"	"extracellular vesicle"
"172"	"ENSG00000199153"	"extracellular exosome"
"173"	"ENSG00000199161"	"extracellular space"
"174"	"ENSG00000199161"	"mRNA binding involved in posttranscriptional gene silencing"
"175"	"ENSG00000199161"	"gene silencing by miRNA"
"176"	"ENSG00000199161"	"positive regulation of blood vessel endothelial cell migration"
"177"	"ENSG00000199161"	"positive regulation of vascular endothelial cell proliferation"
"178"	"ENSG00000199161"	"negative regulation of cell migration"
"179"	"ENSG00000199161"	"mRNA 3'-UTR binding"
"180"	"ENSG00000199161"	"negative regulation of vascular endothelial cell proliferation"
"181"	"ENSG00000199161"	"positive regulation of angiogenesis"
"182"	"ENSG00000199161"	"negative regulation of inflammatory response"
"183"	"ENSG00000199161"	"negative regulation of endothelial cell apoptotic process"
"184"	"ENSG00000199161"	"extracellular vesicle"
"185"	"ENSG00000199161"	"RNA polymerase II complex binding"
"186"	"ENSG00000199161"	"positive regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis"
"187"	"ENSG00000199161"	"positive regulation of cell migration involved in sprouting angiogenesis"
"188"	"ENSG00000199161"	"positive regulation of protein kinase B signaling"
"189"	"ENSG00000199161"	"positive regulation of ERK1 and ERK2 cascade"
"190"	"ENSG00000199161"	"negative regulation of proteolysis"
"191"	"ENSG00000199161"	"positive regulation of Notch signaling pathway"
"192"	"ENSG00000199161"	"cellular response to laminar fluid shear stress"
"193"	"ENSG00000199161"	"positive regulation of sprouting angiogenesis"
"194"	"ENSG00000199161"	"positive regulation of phosphatidylinositol 3-kinase signaling"
"195"	"ENSG00000199161"	"positive regulation of MAPK cascade"
"196"	"ENSG00000199161"	"positive regulation of inflammatory response"
"197"	"ENSG00000199161"	"cellular response to hypoxia"
"198"	"ENSG00000199161"	"positive regulation of vasculature development"
"199"	"ENSG00000199168"	"extracellular space"
"200"	"ENSG00000199168"	"mRNA binding involved in posttranscriptional gene silencing"
"201"	"ENSG00000199168"	"gene silencing by miRNA"
"202"	"ENSG00000199168"	"mRNA 3'-UTR binding"
"203"	"ENSG00000199168"	"negative regulation of cell adhesion molecule production"
"204"	"ENSG00000199172"	"extracellular space"
"205"	"ENSG00000199177"	"extracellular space"
"206"	"ENSG00000199177"	"mRNA binding involved in posttranscriptional gene silencing"
"207"	"ENSG00000199177"	"gene silencing by miRNA"
"208"	"ENSG00000199177"	"miRNA mediated inhibition of translation"
"209"	"ENSG00000199177"	"positive regulation of blood vessel endothelial cell migration"
"210"	"ENSG00000199177"	"mRNA 3'-UTR binding"
"211"	"ENSG00000199177"	"positive regulation of angiogenesis"
"212"	"ENSG00000199177"	"negative regulation of inflammatory response"
"213"	"ENSG00000199177"	"negative regulation of leukocyte adhesion to vascular endothelial cell"
"214"	"ENSG00000199177"	"negative regulation of amyloid precursor protein biosynthetic process"
"215"	"ENSG00000199177"	"positive regulation of cell migration involved in sprouting angiogenesis"
"216"	"ENSG00000199177"	"positive regulation of sprouting angiogenesis"
"217"	"ENSG00000199177"	"cellular response to tumor necrosis factor"
"218"	"ENSG00000199177"	"protein binding"
"219"	"ENSG00000199177"	"RISC complex"
"220"	"ENSG00000199177"	"negative regulation of interleukin-34 production"
"221"	"ENSG00000199177"	"negative regulation of amyloid fibril formation"
"222"	"ENSG00000199177"	"mRNA CDS binding"
"223"	"ENSG00000199177"	"microvesicle"
"224"	"ENSG00000199179"	"extracellular space"
"225"	"ENSG00000199179"	"mRNA binding involved in posttranscriptional gene silencing"
"226"	"ENSG00000199179"	"gene silencing by miRNA"
"227"	"ENSG00000199179"	"miRNA mediated inhibition of translation"
"228"	"ENSG00000199179"	"mRNA 3'-UTR binding"
"229"	"ENSG00000199179"	"negative regulation of gene expression"
"230"	"ENSG00000199179"	"extracellular vesicle"
"231"	"ENSG00000199179"	"RNA polymerase II complex binding"
"232"	"ENSG00000199179"	"positive regulation of transcription by RNA polymerase II"
"233"	"ENSG00000199179"	"cytoplasm"
"234"	"ENSG00000199179"	"nucleus"
"235"	"ENSG00000199179"	"sequence-specific single stranded DNA binding"
"236"	"ENSG00000199179"	"defense response to protozoan"
"237"	"ENSG00000199179"	"positive regulation of RNA polymerase II transcription preinitiation complex assembly"
"238"	"ENSG00000202566"	"extracellular space"
"239"	"ENSG00000202569"	"extracellular space"
"240"	"ENSG00000202569"	"mRNA binding involved in posttranscriptional gene silencing"
"241"	"ENSG00000202569"	"gene silencing by miRNA"
"242"	"ENSG00000202569"	"negative regulation of cell migration involved in sprouting angiogenesis"
"243"	"ENSG00000202569"	"negative regulation of interleukin-17 production"
"244"	"ENSG00000202569"	"cellular response to lipopolysaccharide"
"245"	"ENSG00000202569"	"negative regulation of epithelial to mesenchymal transition"
"246"	"ENSG00000202569"	"regulation of toll-like receptor signaling pathway"
"247"	"ENSG00000202569"	"negative regulation of fibroblast migration"
"248"	"ENSG00000202569"	"negative regulation of fibroblast growth factor production"
"249"	"ENSG00000207547"	"extracellular space"
"250"	"ENSG00000207547"	"mRNA binding involved in posttranscriptional gene silencing"
"251"	"ENSG00000207547"	"gene silencing by miRNA"
"252"	"ENSG00000207547"	"negative regulation of cardiac muscle hypertrophy in response to stress"
"253"	"ENSG00000207547"	"negative regulation of cardiac muscle tissue growth"
"254"	"ENSG00000207550"	"extracellular space"
"255"	"ENSG00000207550"	"positive regulation of endothelial cell differentiation"
"256"	"ENSG00000207550"	"positive regulation of angiogenesis"
"257"	"ENSG00000207550"	"positive regulation of nitric oxide biosynthetic process"
"258"	"ENSG00000207563"	"extracellular space"
"259"	"ENSG00000207563"	"mRNA binding involved in posttranscriptional gene silencing"
"260"	"ENSG00000207563"	"gene silencing by miRNA"
"261"	"ENSG00000207563"	"negative regulation of signaling receptor activity"
"262"	"ENSG00000207563"	"mRNA 3'-UTR binding"
"263"	"ENSG00000207563"	"negative regulation of gene expression"
"264"	"ENSG00000207563"	"positive regulation of gene expression"
"265"	"ENSG00000207563"	"negative regulation of sprouting angiogenesis"
"266"	"ENSG00000207563"	"cellular response to vascular endothelial growth factor stimulus"
"267"	"ENSG00000207563"	"positive regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis"
"268"	"ENSG00000207563"	"positive regulation of cell migration involved in sprouting angiogenesis"
"269"	"ENSG00000207563"	"positive regulation of cardiac muscle cell proliferation"
"270"	"ENSG00000207563"	"positive regulation of ERK1 and ERK2 cascade"
"271"	"ENSG00000207563"	"negative regulation of interleukin-11 production"
"272"	"ENSG00000207563"	"positive regulation of vascular permeability"
"273"	"ENSG00000207563"	"cell growth involved in cardiac muscle cell development"
"274"	"ENSG00000207571"	""
"275"	"ENSG00000207582"	"extracellular space"
"276"	"ENSG00000207582"	"mRNA binding involved in posttranscriptional gene silencing"
"277"	"ENSG00000207582"	"gene silencing by miRNA"
"278"	"ENSG00000207582"	"positive regulation of gene expression"
"279"	"ENSG00000207582"	"negative regulation of vascular endothelial cell proliferation"
"280"	"ENSG00000207582"	"negative regulation of endothelial cell apoptotic process"
"281"	"ENSG00000207582"	"extracellular vesicle"
"282"	"ENSG00000207582"	"negative regulation of angiogenesis"
"283"	"ENSG00000207582"	"positive regulation of protein phosphorylation"
"284"	"ENSG00000207582"	"positive regulation of sprouting angiogenesis"
"285"	"ENSG00000207582"	"positive regulation of activated T cell proliferation"
"286"	"ENSG00000207582"	"negative regulation of regulatory T cell differentiation"
"287"	"ENSG00000207582"	"positive regulation of transforming growth factor beta receptor signaling pathway"
"288"	"ENSG00000207582"	"negative regulation of mini excitatory postsynaptic potential"
"289"	"ENSG00000207582"	"negative regulation of long-term synaptic potentiation"
"290"	"ENSG00000207582"	"negative regulation of dendritic spine maintenance"
"291"	"ENSG00000207585"	"extracellular space"
"292"	"ENSG00000207585"	"mRNA binding involved in posttranscriptional gene silencing"
"293"	"ENSG00000207585"	"gene silencing by miRNA"
"294"	"ENSG00000207585"	"miRNA mediated inhibition of translation"
"295"	"ENSG00000207585"	"negative regulation of interleukin-1 beta production"
"296"	"ENSG00000207585"	"positive regulation of cell migration"
"297"	"ENSG00000207585"	"positive regulation of transcription by RNA polymerase II"
"298"	"ENSG00000207585"	"cytoplasm"
"299"	"ENSG00000207585"	"positive regulation of p38MAPK cascade"
"300"	"ENSG00000207600"	""
"301"	"ENSG00000207605"	"extracellular space"
"302"	"ENSG00000207605"	"mRNA binding involved in posttranscriptional gene silencing"
"303"	"ENSG00000207605"	"gene silencing by miRNA"
"304"	"ENSG00000207605"	"extracellular vesicle"
"305"	"ENSG00000207611"	"negative regulation of receptor signaling pathway via STAT"
"306"	"ENSG00000207611"	"mRNA binding involved in posttranscriptional gene silencing"
"307"	"ENSG00000207611"	"negative regulation of interleukin-6 production"
"308"	"ENSG00000207611"	"gene silencing by miRNA"
"309"	"ENSG00000207611"	"negative regulation of cell migration"
"310"	"ENSG00000207611"	"negative regulation of tumor necrosis factor production"
"311"	"ENSG00000207611"	"negative regulation of NIK/NF-kappaB signaling"
"312"	"ENSG00000207611"	"negative regulation of cell migration involved in sprouting angiogenesis"
"313"	"ENSG00000207611"	"negative regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis"
"314"	"ENSG00000207611"	"cellular response to fibroblast growth factor stimulus"
"315"	"ENSG00000207611"	"negative regulation of inflammatory response"
"316"	"ENSG00000207611"	"negative regulation of fibroblast growth factor receptor signaling pathway"
"317"	"ENSG00000207611"	"negative regulation of endothelial cell chemotaxis to fibroblast growth factor"
"318"	"ENSG00000207611"	"negative regulation of epithelial to mesenchymal transition"
"319"	"ENSG00000207611"	"positive regulation of transforming growth factor beta3 production"
"320"	"ENSG00000207611"	"positive regulation of collagen biosynthetic process"
"321"	"ENSG00000207611"	"negative regulation of stress fiber assembly"
"322"	"ENSG00000207611"	"cellular response to interleukin-6"
"323"	"ENSG00000207614"	"mRNA binding involved in posttranscriptional gene silencing"
"324"	"ENSG00000207614"	"gene silencing by miRNA"
"325"	"ENSG00000207614"	"mRNA 3'-UTR binding"
"326"	"ENSG00000207614"	"negative regulation of blood vessel endothelial cell migration"
"327"	"ENSG00000207614"	"negative regulation of vascular endothelial cell proliferation"
"328"	"ENSG00000207614"	"negative regulation of cell migration involved in sprouting angiogenesis"
"329"	"ENSG00000207614"	"negative regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis"
"330"	"ENSG00000207614"	"extracellular vesicle"
"331"	"ENSG00000207614"	"negative regulation of angiogenesis"
"332"	"ENSG00000207614"	"negative regulation of G1/S transition of mitotic cell cycle"
"333"	"ENSG00000207614"	"cellular response to DNA damage stimulus"
"334"	"ENSG00000207624"	"extracellular space"
"335"	"ENSG00000207624"	"mRNA binding involved in posttranscriptional gene silencing"
"336"	"ENSG00000207624"	"gene silencing by miRNA"
"337"	"ENSG00000207624"	"extracellular vesicle"
"338"	"ENSG00000207624"	"negative regulation of interleukin-10 production"
"339"	"ENSG00000207630"	"extracellular space"
"340"	"ENSG00000207630"	"mRNA binding involved in posttranscriptional gene silencing"
"341"	"ENSG00000207630"	"gene silencing by miRNA"
"342"	"ENSG00000207630"	"negative regulation of sprouting angiogenesis"
"343"	"ENSG00000207633"	"extracellular space"
"344"	"ENSG00000207633"	"mRNA binding involved in posttranscriptional gene silencing"
"345"	"ENSG00000207633"	"gene silencing by miRNA"
"346"	"ENSG00000207633"	"negative regulation of blood vessel endothelial cell migration"
"347"	"ENSG00000207633"	"negative regulation of angiogenesis"
"348"	"ENSG00000207638"	"extracellular space"
"349"	"ENSG00000207638"	"negative regulation of receptor signaling pathway via STAT"
"350"	"ENSG00000207638"	"negative regulation of interleukin-6-mediated signaling pathway"
"351"	"ENSG00000207638"	"mRNA binding involved in posttranscriptional gene silencing"
"352"	"ENSG00000207638"	"gene silencing by miRNA"
"353"	"ENSG00000207638"	"extracellular vesicle"
"354"	"ENSG00000207639"	"mRNA binding involved in posttranscriptional gene silencing"
"355"	"ENSG00000207639"	"gene silencing by miRNA"
"356"	"ENSG00000207639"	"extracellular exosome"
"357"	"ENSG00000207649"	"mRNA binding involved in posttranscriptional gene silencing"
"358"	"ENSG00000207649"	"gene silencing by miRNA"
"359"	"ENSG00000207649"	"miRNA mediated inhibition of translation"
"360"	"ENSG00000207649"	"negative regulation of gene expression"
"361"	"ENSG00000207649"	"negative regulation of sprouting angiogenesis"
"362"	"ENSG00000207649"	"negative regulation of inflammatory response"
"363"	"ENSG00000207649"	"negative regulation of cell population proliferation"
"364"	"ENSG00000207649"	"negative regulation of cell migration"
"365"	"ENSG00000207649"	"positive regulation of protein kinase B signaling"
"366"	"ENSG00000207649"	"negative regulation of nitric-oxide synthase activity"
"367"	"ENSG00000207649"	"negative regulation of G1/S transition of mitotic cell cycle"
"368"	"ENSG00000207649"	"positive regulation of transcription by RNA polymerase II"
"369"	"ENSG00000207649"	"cytoplasm"
"370"	"ENSG00000207649"	"negative regulation of vascular associated smooth muscle cell apoptotic process"
"371"	"ENSG00000207649"	"nucleus"
"372"	"ENSG00000207649"	"negative regulation of NF-kappaB transcription factor activity"
"373"	"ENSG00000207649"	"negative regulation of stress fiber assembly"
"374"	"ENSG00000207649"	"negative regulation of cell adhesion"
"375"	"ENSG00000207649"	"negative regulation of osteoblast proliferation"
"376"	"ENSG00000207649"	"negative regulation of phosphatidylinositol 3-kinase activity"
"377"	"ENSG00000207649"	"plasma membrane raft assembly"
"378"	"ENSG00000207649"	"negative regulation of osteoblast differentiation"
"379"	"ENSG00000207649"	"negative regulation of response to cytokine stimulus"
"380"	"ENSG00000207649"	"negative regulation of protein K63-linked ubiquitination"
"381"	"ENSG00000207649"	"negative regulation of p38MAPK cascade"
"382"	"ENSG00000207651"	"extracellular space"
"383"	"ENSG00000207651"	"mRNA binding involved in posttranscriptional gene silencing"
"384"	"ENSG00000207651"	"gene silencing by miRNA"
"385"	"ENSG00000207651"	"miRNA mediated inhibition of translation"
"386"	"ENSG00000207651"	"mRNA 3'-UTR binding"
"387"	"ENSG00000207651"	"negative regulation of interleukin-34 production"
"388"	"ENSG00000207691"	"extracellular space"
"389"	"ENSG00000207691"	"mRNA binding involved in posttranscriptional gene silencing"
"390"	"ENSG00000207691"	"gene silencing by miRNA"
"391"	"ENSG00000207691"	"mRNA 3'-UTR binding"
"392"	"ENSG00000207691"	"negative regulation of gene expression"
"393"	"ENSG00000207691"	"positive regulation of phagocytosis"
"394"	"ENSG00000207691"	"negative regulation of cell-substrate adhesion"
"395"	"ENSG00000207691"	"transforming growth factor beta receptor signaling pathway"
"396"	"ENSG00000207698"	"mRNA binding involved in posttranscriptional gene silencing"
"397"	"ENSG00000207698"	"gene silencing by miRNA"
"398"	"ENSG00000207703"	"extracellular space"
"399"	"ENSG00000207703"	"mRNA binding involved in posttranscriptional gene silencing"
"400"	"ENSG00000207703"	"gene silencing by miRNA"
"401"	"ENSG00000207703"	"negative regulation of sprouting angiogenesis"
"402"	"ENSG00000207721"	"extracellular space"
"403"	"ENSG00000207721"	"mRNA binding involved in posttranscriptional gene silencing"
"404"	"ENSG00000207721"	"gene silencing by miRNA"
"405"	"ENSG00000207721"	"mRNA 3'-UTR binding"
"406"	"ENSG00000207721"	"negative regulation of amyloid-beta formation"
"407"	"ENSG00000207725"	"extracellular space"
"408"	"ENSG00000207725"	"mRNA binding involved in posttranscriptional gene silencing"
"409"	"ENSG00000207725"	"gene silencing by miRNA"
"410"	"ENSG00000207725"	"miRNA mediated inhibition of translation"
"411"	"ENSG00000207725"	"positive regulation of vascular associated smooth muscle cell proliferation"
"412"	"ENSG00000207725"	"negative regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis"
"413"	"ENSG00000207725"	"negative regulation of inflammatory response"
"414"	"ENSG00000207725"	"negative regulation of leukocyte adhesion to vascular endothelial cell"
"415"	"ENSG00000207725"	"positive regulation of G1/S transition of mitotic cell cycle"
"416"	"ENSG00000207725"	"extracellular vesicle"
"417"	"ENSG00000207725"	"negative regulation of angiogenesis"
"418"	"ENSG00000207725"	"positive regulation of cardiac muscle cell proliferation"
"419"	"ENSG00000207725"	"negative regulation of apoptotic process"
"420"	"ENSG00000207725"	"negative regulation of cardiac muscle cell differentiation"
"421"	"ENSG00000207725"	"negative regulation of interleukin-21 production"
"422"	"ENSG00000207725"	"positive regulation of epithelial cell migration"
"423"	"ENSG00000207725"	"positive regulation of epithelial to mesenchymal transition"
"424"	"ENSG00000207725"	"negative regulation by host of viral genome replication"
"425"	"ENSG00000207725"	"positive regulation of erythrocyte differentiation"
"426"	"ENSG00000207725"	"positive regulation of axon regeneration"
"427"	"ENSG00000207725"	"positive regulation of protein kinase B signaling"
"428"	"ENSG00000207725"	"negative regulation of cell adhesion molecule production"
